mastery,trend,attempts_count,at_risk
0.773956,-0.057784,13,0
0.438878,-0.064927,22,1
0.858598,0.220805,23,0
0.697368,0.046569,45,0
0.094177,0.155968,5,0
0.975622,-0.065601,26,0
0.761140,-0.149030,38,0
0.786064,0.129711,37,0
0.128114,-0.019760,35,1
0.450386,0.075877,22,0
0.370798,0.094102,19,0
0.926765,-0.269787,38,1
0.643865,0.045753,8,0
0.822762,0.200265,23,0
0.443414,0.061802,46,0
0.227239,-0.012944,34,1
0.554585,0.196181,45,0
0.063817,0.010533,40,1
0.827631,-0.095959,43,0
0.631664,-0.204307,7,1
0.758088,-0.113190,9,1
0.354526,-0.098834,37,1
0.970698,-0.061319,25,0
0.893121,-0.121686,32,0
0.778383,0.138652,31,0
0.194639,-0.165740,21,1
0.466721,0.133163,24,0
0.043804,-0.172761,24,1
0.154289,0.277897,8,0
0.683049,0.012754,30,0
0.744762,-0.058886,27,0
0.967510,-0.059705,4,0
0.325825,0.024757,3,0
0.370460,0.122801,17,0
0.469556,-0.143266,26,1
0.189471,0.148808,36,0
0.129922,-0.134061,19,1
0.475705,0.125539,45,0
0.226909,-0.268565,28,1
0.669814,-0.001487,49,0
0.437152,-0.172133,38,1
0.832678,0.170670,22,0
0.700265,-0.269593,22,1
0.312367,-0.013679,49,1
0.832260,0.266278,19,0
0.804764,0.018813,44,0
0.387478,-0.115734,19,1
0.288328,0.189548,36,0
0.682496,0.131357,31,0
0.139752,-0.299361,30,1
0.199908,-0.281864,50,1
0.007362,-0.216535,6,1
0.786924,-0.084077,35,0
0.664851,-0.142149,35,1
0.705165,-0.258792,10,1
0.780729,-0.067853,16,0
0.458916,-0.238025,4,1
0.568741,0.122481,44,0
0.139797,0.062474,6,1
0.114530,-0.068442,17,1
0.668403,-0.116145,35,1
0.471096,-0.149579,9,1
0.565236,-0.226614,35,1
0.764999,-0.109442,50,0
0.634718,-0.257320,20,1
0.553579,-0.010136,12,1
0.559207,0.274533,39,0
0.303950,0.189178,44,1
0.030818,0.266208,11,0
0.436717,-0.137383,19,1
0.214585,-0.049460,41,1
0.408529,0.138249,9,0
0.853403,-0.099733,46,0
0.233939,-0.222602,25,1
0.058303,0.007218,30,1
0.281384,0.274751,39,0
0.293594,0.161132,13,0
0.661917,-0.121527,15,0
0.557032,-0.122277,23,1
0.783898,-0.279575,50,1
0.664314,0.110301,18,0
0.406387,-0.277854,4,1
0.814020,-0.004034,9,0
0.166973,0.217589,19,0
0.022712,0.073008,35,1
0.090048,0.049663,5,1
0.722359,-0.219482,38,1
0.461877,-0.240655,42,1
0.161272,0.008124,37,1
0.501045,0.278701,26,0
0.152312,-0.100621,34,1
0.696320,-0.042044,46,0
0.446156,-0.091345,29,0
0.381021,-0.139300,18,1
0.301512,-0.196107,38,1
0.630283,0.052470,45,0
0.361813,-0.279742,28,1
0.087650,-0.011415,21,1
0.118006,-0.080633,13,1
0.961898,-0.186570,22,0
0.908581,0.030681,46,0
0.699707,-0.044408,15,0
0.265870,-0.285621,29,1
0.969176,0.055100,29,0
0.778751,-0.122138,33,0
0.716890,0.044577,43,0
0.449362,0.186159,27,0
0.272242,-0.260806,49,1
0.096391,0.059197,25,1
0.902602,-0.159079,11,0
0.455776,-0.047628,12,1
0.202363,-0.212820,21,1
0.305957,0.176153,45,0
0.579220,-0.272243,35,1
0.176773,-0.170518,30,1
0.856614,0.105981,45,0
0.758520,0.108994,16,0
0.719463,0.195024,50,0
0.432093,0.237149,26,0
0.627309,-0.155197,30,0
0.584098,0.257792,48,0
0.649847,0.193474,44,0
0.084444,0.111500,16,1
0.415807,-0.190041,6,1
0.041614,0.137651,19,1
0.493991,0.165421,40,0
0.329861,0.123706,18,0
0.144524,-0.172884,42,1
0.103403,-0.022996,47,1
0.587645,0.072681,34,0
0.170593,-0.239028,28,1
0.925120,0.114530,3,0
0.581061,-0.260136,30,1
0.346870,-0.020862,7,1
