mastery,difficulty,correct
0.773956,3,1
0.438878,2,1
0.858598,3,1
0.697368,2,1
0.094177,2,0
0.975622,3,1
0.761140,2,1
0.786064,2,1
0.128114,3,0
0.450386,3,1
0.370798,1,1
0.926765,2,1
0.643865,3,1
0.822762,1,1
0.443414,2,0
0.227239,3,0
0.554585,2,1
0.063817,2,0
0.827631,1,1
0.631664,2,1
0.758088,2,1
0.354526,2,1
0.970698,3,1
0.893121,1,1
0.778383,2,1
0.194639,2,0
0.466721,2,1
0.043804,3,0
0.154289,2,0
0.683049,2,1
0.744762,2,1
0.967510,2,1
0.325825,2,0
0.370460,3,0
0.469556,2,1
0.189471,2,0
0.129922,2,0
0.475705,2,1
0.226909,3,0
0.669814,1,1
0.437152,2,1
0.832678,1,1
0.700265,3,0
0.312367,2,0
0.832260,2,1
0.804764,2,1
0.387478,3,0
0.288328,1,1
0.682496,3,1
0.139752,3,0
0.199908,3,0
0.007362,1,0
0.786924,1,1
0.664851,3,1
0.705165,3,0
0.780729,1,1
0.458916,3,0
0.568741,3,1
0.139797,1,0
0.114530,2,0
0.668403,3,1
0.471096,2,0
0.565236,1,1
0.764999,2,1
0.634718,3,1
0.553579,2,1
0.559207,2,1
0.303950,3,0
0.030818,1,0
0.436717,1,1
0.214585,3,0
0.408529,3,0
0.853403,3,1
0.233939,1,0
0.058303,2,0
0.281384,3,0
0.293594,1,1
0.661917,1,1
0.557032,1,1
0.783898,2,1
0.664314,3,1
0.406387,1,1
0.814020,2,1
0.166973,3,0
0.022712,3,0
0.090048,1,1
0.722359,1,1
0.461877,2,1
0.161272,3,0
0.501045,3,1
0.152312,1,0
0.696320,2,1
0.446156,3,0
0.381021,1,1
0.301512,2,0
0.630283,3,0
0.361813,2,1
0.087650,3,0
0.118006,3,0
0.961898,1,1
0.908581,2,1
0.699707,1,1
0.265870,2,0
0.969176,1,1
0.778751,3,1
0.716890,2,1
0.449362,1,1
0.272242,1,0
0.096391,2,0
0.902602,1,1
0.455776,2,1
0.202363,2,0
0.305957,2,0
0.579220,1,1
0.176773,3,0
0.856614,3,1
0.758520,3,1
0.719463,2,1
0.432093,3,0
0.627309,2,0
0.584098,2,1
0.649847,1,1
0.084444,1,0
0.415807,1,1
0.041614,3,0
0.493991,1,1
0.329861,3,0
0.144524,1,1
0.103403,2,0
0.587645,1,1
0.170593,3,0
0.925120,2,1
0.581061,2,1
0.346870,3,0
0.590915,2,1
0.022804,3,0
0.958559,1,1
0.482303,3,0
0.782735,3,1
0.082730,1,1
0.486658,1,1
0.490707,2,0
0.937826,3,1
0.571728,3,0
0.473489,1,1
0.266976,2,0
0.331569,3,0
0.520672,1,1
0.438911,3,1
0.021612,2,0
0.826292,3,1
0.896161,3,1
0.140249,3,0
0.554036,3,1
0.108576,3,0
0.672240,1,1
0.281234,1,0
0.659423,1,1
0.726995,1,1
0.768647,1,1
0.107741,2,0
0.916012,3,1
0.230214,2,0
0.037413,1,0
0.554852,3,0
0.370922,2,1
0.829790,1,1
0.808251,3,1
0.317139,2,0
0.952899,2,1
0.290918,3,0
0.515057,2,1
0.255965,2,0
0.936044,1,1
0.164608,3,0
0.044911,1,1
0.435097,1,1
0.992376,2,1
0.891677,3,1
0.748608,3,1
0.890792,2,1
0.893447,1,1
0.518858,1,1
0.315929,2,1
0.772012,2,1
0.661661,2,1
0.373658,3,0
0.094467,1,0
0.746790,2,1
0.262461,1,1
0.936813,1,1
0.240971,2,0
0.122758,2,0
0.831113,1,1
0.153284,3,0
0.179268,2,0
0.599383,2,1
0.874562,2,1
0.196435,2,0
0.310324,1,1
0.777405,3,1
0.971826,2,1
0.500741,3,0
0.143898,2,0
0.013936,1,1
0.229656,1,0
0.131822,1,0
0.677659,2,1
0.121833,1,0
0.506330,1,1
0.694262,3,1
0.581117,2,1
0.199776,1,0
0.804125,3,1
0.715407,1,1
0.738984,1,1
0.131058,2,0
0.123754,2,0
0.927563,2,1
0.397578,1,1
0.300949,1,1
0.488584,2,1
0.662864,3,1
0.955623,1,1
0.286446,3,0
0.924808,3,1
0.024859,2,0
0.555198,1,1
0.633975,1,1
0.105897,1,1
0.140340,3,0
0.419114,3,0
0.966232,3,1
0.596043,3,0
0.933023,3,1
0.804361,3,1
0.467382,2,0
0.784763,3,1
0.017837,2,0
0.109144,1,0
0.829429,2,1
0.796817,3,1
0.232641,3,0
0.530770,3,0
0.606016,2,1
0.867739,3,1
0.603107,1,1
0.412572,1,0
0.374184,2,1
0.425882,3,0
0.651931,2,1
0.867491,3,1
0.453897,1,1
0.247840,3,0
