initial_mastery,aptitude,attempts_to_mastery
0.564374,0.681662,20.500
0.363327,0.676305,34.100
0.615159,0.890604,7.500
0.518421,0.759927,15.000
0.156506,0.841976,14.600
0.685373,0.675800,16.100
0.556684,0.613227,27.000
0.571639,0.822283,11.600
0.176868,0.710180,35.700
0.370232,0.781907,17.300
0.322479,0.795576,11.200
0.656059,0.522659,81.000
0.486319,0.759314,11.400
0.593657,0.875199,10.300
0.366049,0.771352,18.600
0.236343,0.715292,22.900
0.432751,0.872136,9.000
0.138290,0.732900,20.900
0.596579,0.653031,21.800
0.478999,0.571769,47.700
0.554853,0.640107,26.400
0.312716,0.650874,34.500
0.682419,0.679011,17.400
0.635873,0.633735,29.300
0.567030,0.828989,10.800
0.216783,0.600695,49.000
0.380033,0.824872,15.900
0.126282,0.595429,78.300
0.192574,0.933423,10.100
0.509829,0.734565,13.100
0.546857,0.680835,30.400
0.680506,0.680221,17.600
0.295495,0.743568,18.800
0.322276,0.817101,12.900
0.381733,0.617551,59.000
0.213683,0.836606,15.300
0.177953,0.624454,34.000
0.385423,0.819154,12.300
0.236146,0.523576,82.200
0.501888,0.723885,18.000
0.362291,0.595900,35.900
0.599607,0.853002,10.200
0.520159,0.522805,98.500
0.287420,0.714741,21.900
0.599356,0.924708,7.300
0.582859,0.739110,15.100
0.332487,0.638199,53.900
0.272997,0.867161,10.500
0.509497,0.823518,11.600
0.183851,0.500479,106.700
0.219945,0.513602,117.900
0.104417,0.562599,59.200
0.572155,0.661942,30.200
0.498911,0.618388,35.900
0.523099,0.530906,84.100
0.568437,0.674110,17.300
0.375349,0.546481,81.400
0.441245,0.816861,12.500
0.183878,0.771856,16.700
0.168718,0.673669,34.100
0.501042,0.637892,44.600
0.382658,0.612816,66.300
0.439142,0.555040,66.300
0.558999,0.642918,18.800
0.480831,0.532010,95.300
0.432148,0.717398,15.500
0.435524,0.930900,8.300
0.282370,0.866883,12.000
0.118491,0.924656,11.900
0.362030,0.621963,38.200
0.228751,0.687905,21.800
0.345117,0.828687,12.700
0.612042,0.650201,39.200
0.240364,0.558049,68.700
0.134982,0.730414,25.500
0.268830,0.931064,11.400
0.276156,0.845849,14.400
0.497150,0.633855,28.700
0.434219,0.633292,34.300
0.570339,0.515319,62.200
0.498588,0.807726,16.100
0.343832,0.516610,72.800
0.588412,0.721975,15.400
0.200184,0.888192,17.100
0.113627,0.779756,19.300
0.154029,0.762247,20.800
0.533416,0.560388,60.200
0.377126,0.544509,107.700
0.196763,0.731093,20.500
0.400627,0.934026,8.000
0.191387,0.649535,43.700
0.517792,0.693467,23.900
0.367694,0.656491,40.500
0.328613,0.620525,54.600
0.280907,0.577919,82.700
0.478170,0.764352,13.500
0.317088,0.515194,55.100
0.152590,0.716439,27.600
0.170804,0.664525,31.300
0.677139,0.585073,57.900
0.645148,0.748010,11.200
0.519824,0.691694,26.800
0.259522,0.510785,75.100
0.681506,0.766325,11.500
0.567251,0.633397,49.500
0.530134,0.758433,23.600
0.369617,0.864620,10.100
0.263345,0.529396,92.000
0.157835,0.769398,17.200
0.641561,0.605691,30.100
0.373466,0.689279,26.900
0.221418,0.565385,72.600
0.283574,0.857115,12.500
0.447532,0.520817,106.400
0.206064,0.597111,79.000
0.613969,0.804486,10.900
0.555112,0.806746,9.600
0.531678,0.871268,8.100
0.359256,0.902862,10.600
0.476385,0.608602,37.300
0.450459,0.918344,8.700
0.489908,0.870105,8.300
0.150667,0.808625,16.100
0.349484,0.582469,66.400
0.124969,0.828238,15.500
0.396394,0.849066,9.400
0.297917,0.817780,10.700
0.186715,0.595337,48.500
0.162042,0.707753,23.600
0.452587,0.779511,18.800
0.202356,0.545729,107.000
0.655072,0.810898,11.100
0.448637,0.529898,74.500
0.308122,0.709354,30.400
0.454549,0.749186,21.000
0.113682,0.822526,19.200
0.675136,0.945274,4.000
0.389382,0.714274,20.600
0.569641,0.700809,23.100
0.149638,0.660452,22.600
0.391995,0.794881,18.600
0.394424,0.849735,11.300
0.662696,0.863872,5.900
0.443037,0.531080,83.400
0.384094,0.579550,52.800
0.260185,0.774886,21.000
0.298941,0.683116,20.900
0.412403,0.809871,12.600
0.363347,0.811044,14.100
0.112967,0.770697,18.700
0.595775,0.517871,94.900
0.637696,0.765007,17.400
0.184149,0.825727,12.400
0.432422,0.617243,39.000
0.165145,0.642345,38.400
0.503344,0.912602,8.500
0.268740,0.613482,50.900
0.495654,0.876625,10.200
0.536197,0.551911,62.000
0.561188,0.914209,7.300
0.164645,0.932719,10.400
0.649607,0.725366,16.600
0.238128,0.590439,55.100
0.122448,0.698848,26.700
0.432911,0.825027,13.800
0.322553,0.679084,22.800
0.597874,0.555915,71.500
0.584951,0.836641,10.300
0.290283,0.622717,29.800
0.671740,0.607737,25.200
0.274551,0.632393,31.900
0.409034,0.784405,15.100
0.253579,0.683442,25.100
0.661626,0.849350,6.900
0.198765,0.736142,20.400
0.126946,0.565371,44.000
0.361058,0.814353,13.100
0.695425,0.814183,6.400
0.635006,0.918048,4.600
0.549165,0.762144,15.800
0.634475,0.945108,4.400
0.636068,0.587260,57.700
0.411315,0.663334,39.000
0.289557,0.794018,15.800
0.563207,0.534406,101.100
0.496997,0.620030,57.300
0.324195,0.745948,22.000
0.156680,0.939401,10.500
0.548074,0.936346,7.100
0.257476,0.669496,25.700
0.662088,0.615806,28.700
0.244582,0.814451,15.100
0.173655,0.910722,13.500
0.598668,0.682376,25.300
0.191971,0.799416,21.800
0.207561,0.530127,116.300
0.459630,0.514780,86.300
0.624737,0.543431,77.300
0.217861,0.711007,33.000
0.286194,0.614025,44.200
0.566443,0.764576,22.000
0.683096,0.727421,8.900
0.400445,0.895220,9.600
0.186339,0.777101,21.600
0.108362,0.764756,16.000
0.237794,0.674110,27.200
0.179093,0.686262,30.900
0.506595,0.628091,73.300
0.173100,0.660345,28.100
0.403798,0.879874,8.800
0.516557,0.698634,22.600
0.448670,0.593440,66.700
0.219865,0.512164,93.000
0.582475,0.531841,74.100
0.529244,0.773931,12.900
0.543390,0.587549,41.000
0.178635,0.857437,11.300
0.174252,0.651214,57.000
0.656538,0.555108,52.600
0.338547,0.685445,30.500
0.280569,0.634063,43.100
0.393150,0.875071,10.900
