avg_mastery,pct_struggling,std_mastery,priority
0.773956,0.176321,0.111024,30.949106
0.438878,0.365667,0.220519,85.759120
0.858598,0.180526,0.199136,31.790396
0.697368,0.351602,0.201210,62.798640
0.094177,0.823425,0.141081,100.000000
0.975622,0.000000,0.124538,10.361881
0.761140,0.173950,0.174988,47.715871
0.786064,0.210329,0.070309,32.380381
0.128114,0.651639,0.266465,100.000000
0.450386,0.402842,0.279104,99.768908
0.370798,0.425100,0.195889,97.046789
0.926765,0.113070,0.069262,22.252924
0.643865,0.293235,0.105873,61.935106
0.822762,0.234922,0.258964,42.533768
0.443414,0.407844,0.128305,96.862879
0.227239,0.538087,0.164324,98.180550
0.554585,0.410967,0.116800,80.215648
0.063817,0.611375,0.118904,96.502097
0.827631,0.123257,0.298308,40.331750
0.631664,0.137832,0.149241,60.439148
0.758088,0.123863,0.104898,27.975629
0.354526,0.530634,0.237310,92.149226
0.970698,0.000000,0.112274,8.446497
0.893121,0.151121,0.225886,22.413628
0.778383,0.143347,0.281337,41.327630
0.194639,0.462199,0.041943,96.941350
0.466721,0.618813,0.286927,97.167785
0.043804,0.618797,0.225845,99.637122
0.154289,0.927865,0.200321,100.000000
0.683049,0.005291,0.019328,22.560999
0.744762,0.122650,0.298207,49.952320
0.967510,0.112047,0.296961,22.052542
0.325825,0.686745,0.272598,98.375121
0.370460,0.547711,0.048663,85.316528
0.469556,0.448892,0.234641,92.750503
0.189471,0.746277,0.195949,97.282865
0.129922,0.515475,0.118860,96.899139
0.475705,0.540172,0.040173,91.321399
0.226909,0.408411,0.048139,91.306802
0.669814,0.381110,0.091579,64.269445
0.437152,0.257646,0.006091,75.531394
0.832678,0.096903,0.255581,33.869402
0.700265,0.000000,0.000630,17.316298
0.312367,0.569958,0.124251,97.920940
0.832260,0.119779,0.285193,42.543684
0.804764,0.138678,0.141731,37.866035
0.387478,0.397298,0.029603,91.175294
0.288328,0.640062,0.023078,99.031900
0.682496,0.306296,0.094735,54.856344
0.139752,0.378046,0.260298,99.432526
0.199908,0.273400,0.222758,98.775919
0.007362,0.427409,0.151619,94.284764
0.786924,0.150992,0.269588,41.766928
0.664851,0.195128,0.027626,40.984411
0.705165,0.022266,0.031922,27.801906
0.780729,0.144673,0.190637,33.005646
0.458916,0.329560,0.198336,96.044199
0.568741,0.246596,0.094848,68.782881
0.139797,0.915284,0.283563,96.026655
0.114530,0.458350,0.248735,95.084972
0.668403,0.261384,0.037396,46.363695
0.471096,0.192616,0.198453,69.032203
0.565236,0.227776,0.264506,70.567121
0.764999,0.124261,0.255378,43.433008
0.634718,0.225590,0.191570,68.851492
0.553579,0.439389,0.212999,85.813379
0.559207,0.467951,0.179672,83.701381
0.303950,0.734554,0.094511,97.412195
0.030818,1.000000,0.241181,100.000000
0.436717,0.230587,0.064222,75.156811
